Type of surface,Number of racks,Type of racks,Capacity,Nearest building,x,y
Asphalt,1,Cora Other,10,Plew,-111.0449654,45.66497617
Grass,1,Old,16,heating plant,-111.0454954,45.66484433
Concrete,6,Cora Other,60,EPS,-111.0464835,45.66567929
Concrete,5,Cora Other,50,EPS,-111.0465374,45.66584879
Concrete,9,Cora Other,90,Cobleigh,-111.0464117,45.66640123
Asphalt,5,Cora Other,50,Cobleigh,-111.0464296,45.66664606
Bike Pad,3,Cora Other,30,SUB,-111.0468518,45.66682184
Concrete,4,Cora Other,40,SUB,-111.0467261,45.6662129
Concrete,8,Cora Other,80,AJMJ,-111.0481993,45.66574834
Concrete,2,Old,36,AJMJ,-111.0485946,45.66630079
Bike Pad,1,Old,18,AJMJ,-111.0485856,45.66619407
Bike Pad,1,Old,18,Renne Library,-111.0487473,45.66631334
Bike Pad,3,Old,54,SUB,-111.0477142,45.66690973
Concrete,4,Cora Other,40,SUB,-111.0480556,45.66685323
Bike Pad,2,Cora Other,20,Renne Library,-111.0483969,45.66694739
Concrete,4,Old,72,Renne Library,-111.0486934,45.66698506
Bike Pad,2,Cora Other,20,Renne Library,-111.0489719,45.66697878
Bike Pad,2,Cora Other,20,Roberts,-111.0458817,45.66699134
Bike Pad,2,Cora Other,20,Roberts,-111.0461601,45.66701645
Concrete,1,spline,10,Roberts,-111.0459984,45.66738055
Concrete,1,spline,10,Roberts,-111.0460793,45.66721733
Grass,3,spline,30,Campus,-111.0461332,45.66741194
Bike Pad,3,Cora Other,30,Hamilton,-111.0481724,45.66751238
Grass,4,Cora Other,40,Hamilton,-111.0483161,45.66754377
Concrete,2,Old,36,Hamilton,-111.0477142,45.66770699
Bike Pad,2,Cora Other,20,Wilson,-111.0485407,45.66795809
Concrete,7,Cora Other,70,LJH Annex,-111.0498073,45.66766304
Bike Pad,1,Old,18,Lewis,-111.05049,45.66753749
Concrete,1,Cora Other,10,Sherrick,-111.0507146,45.66686578
Concrete,4,Cora Other,40,Reid,-111.0503732,45.6667214
Bike Pad,3,Cora Other,30,Reid,-111.049942,45.66704784
Concrete,1,Cora Other,10,Gaines,-111.0501936,45.6657044
Concrete,5,Cora Other,50,Gaines,-111.0502834,45.66542817
Gravel,1,Cora Other,10,HPE,-111.0504361,45.66465599
Concrete,4,Cora Other,40,HPE,-111.0495019,45.66490711
Gravel,1,Cora Other,10,Campus,-111.0473369,45.66618779
Grass,3,Cora Other,30,Hamilton,-111.0484059,45.66761282
Concrete,1,Cora Other,10,Reid,-111.0505709,45.66690345
Bike Pad,2,Cora Other,20,Reid,-111.0495108,45.66676534
Bike Pad,3,Old,54,Reid,-111.0498432,45.6663824
Rubber Pavers,2,Cora Other,20,Gaines,-111.0500768,45.6657044
Concrete,1,Old,18,Romney,-111.0495108,45.6655914
Concrete,2,Cora Other,20,HPE,-111.0497085,45.664882
Concrete,3,Old,54,Viscom,-111.0516129,45.66595551
Concrete,1,Old,18,Viscom,-111.0516848,45.66540306
Concrete,2,Old,36,Howard,-111.0523316,45.66608107
Bike Pad,1,Old,18,Howard,-111.0528526,45.66654562
Concrete,2,Old,36,Cheever,-111.0530412,45.66681556
Concrete,8,Old,144,Cheever,-111.053158,45.667029
Concrete,1,spline,6,Haynes,-111.0533826,45.66717339
Concrete,4,Old,72,Campus,-111.0516219,45.66729894
Rubber Pavers,2,Cora Other,20,Cooley,-111.0517746,45.66763166
Concrete,1,Cora Other,10,Taylor,-111.0517207,45.66795181
Grass,2,Old,36,Linfield South,-111.05102,45.66830336
Concrete,6,Old,108,Linfield South,-111.051047,45.66819664
Concrete,1,Cora Other,10,Linfield,-111.0511548,45.6686549
Concrete,1,Cora Other,10,Campus,-111.0515949,45.66847285
Grass,5,Cora Other,50,Linfield,-111.0511637,45.66905038
Concrete,2,Cora Other,20,Chem biochem,-111.0498073,45.66887461
Concrete,1,Cora Other,10,Chem biochem,-111.0496276,45.6690441
Bike Pad,11,U shaped,22,Jabs,-111.0491336,45.66906921
Bike Pad,1,Cora Other,10,Jabs,-111.0483341,45.66912571
Grass,2,Cora Other|Old,28,Wilson,-111.0486215,45.66864234
Concrete,5,Cora Other,50,Wilson,-111.0477861,45.66849796
Bike Pad,1,Old,18,Herrick,-111.0472112,45.66851679
Bike Pad,3,Cora Other,30,Jabs,-111.0489988,45.66919476
Concrete,3,Cora Other,30,Leon Johnson,-111.0496456,45.66822175
Grass,2,Cora Other|Old,28,Fieldhouse,-111.0513434,45.66391519
Rubber Pavers,2,Cora Other,20,ABB,-111.053185,45.66949607
Concrete,1,Old,18,Campus,-111.0468518,45.6675626
Concrete,2,Cora Other,20,PGC,-111.0526819,45.66806481
Concrete,3,Cora Other,30,PGC,-111.0524753,45.66852307
