building,latitude,longitude
Taylor Hall,-111.0515078,45.66796108
Taylor Hall,-111.0515078,45.66796093
Taylor Hall,-111.0514609,45.66796167
Taylor Hall,-111.051414,45.66796242
Taylor Hall,-111.0514139,45.66796027
Taylor Hall,-111.0514139,45.66796013
Taylor Hall,-111.0514084,45.66785307
Taylor Hall,-111.0514084,45.66785293
Taylor Hall,-111.0515058,45.66785235
Taylor Hall,-111.0515057,45.66784293
Taylor Hall,-111.0515057,45.66784279
Taylor Hall,-111.0517049,45.66784004
Taylor Hall,-111.0517055,45.66784003
Taylor Hall,-111.0517055,45.66784017
Taylor Hall,-111.0517058,45.66785515
Taylor Hall,-111.0517075,45.66796075
Taylor Hall,-111.0517042,45.66796082
Taylor Hall,-111.051681,45.66796134
Taylor Hall,-111.0516623,45.66796177
Taylor Hall,-111.0515082,45.66796524
Taylor Hall,-111.0515078,45.66796108
Hamilton Hall,-111.0479099,45.66760952
Hamilton Hall,-111.0478404,45.66760983
Hamilton Hall,-111.0478408,45.66765328
Hamilton Hall,-111.0478408,45.66765625
Hamilton Hall,-111.0478408,45.66765647
Hamilton Hall,-111.0478408,45.66765841
Hamilton Hall,-111.0477437,45.66765885
Hamilton Hall,-111.0477082,45.66765902
Hamilton Hall,-111.0477076,45.66765902
Hamilton Hall,-111.0477076,45.66757561
Hamilton Hall,-111.0477076,45.6675752
Hamilton Hall,-111.0477076,45.66755058
Hamilton Hall,-111.0477076,45.66751926
Hamilton Hall,-111.0477076,45.66751905
Hamilton Hall,-111.0477076,45.66751881
Hamilton Hall,-111.0477076,45.66749921
Hamilton Hall,-111.0478377,45.66749876
Hamilton Hall,-111.0478377,45.66749914
Hamilton Hall,-111.0478379,45.66751598
Hamilton Hall,-111.0478385,45.66751598
Hamilton Hall,-111.0480334,45.66751429
Hamilton Hall,-111.0480328,45.66749775
Hamilton Hall,-111.0481621,45.66749682
Hamilton Hall,-111.0481621,45.66749721
Hamilton Hall,-111.0481631,45.66754568
Hamilton Hall,-111.0481639,45.66758063
Hamilton Hall,-111.0481648,45.66762009
Hamilton Hall,-111.0481648,45.6676203
Hamilton Hall,-111.0481654,45.66764634
Hamilton Hall,-111.0481656,45.66765694
Hamilton Hall,-111.0481338,45.66765709
Hamilton Hall,-111.0480331,45.66765754
Hamilton Hall,-111.0480331,45.66765546
Hamilton Hall,-111.0480331,45.66765525
Hamilton Hall,-111.0480331,45.66765228
Hamilton Hall,-111.0480327,45.66760896
Hamilton Hall,-111.0479634,45.66760927
Hamilton Hall,-111.0479592,45.66760929
Hamilton Hall,-111.0479142,45.6676095
Hamilton Hall,-111.0479099,45.66760952
Cobleigh Hall,-111.0460149,45.6667012
Cobleigh Hall,-111.0460149,45.66668323
Cobleigh Hall,-111.0460114,45.66668324
Cobleigh Hall,-111.0460113,45.66668324
Cobleigh Hall,-111.0457632,45.66668408
Cobleigh Hall,-111.0457632,45.66668139
Cobleigh Hall,-111.0457627,45.66666031
Cobleigh Hall,-111.0457153,45.66666049
Cobleigh Hall,-111.0457086,45.66666052
Cobleigh Hall,-111.045708,45.66659961
Cobleigh Hall,-111.0457076,45.66656447
Cobleigh Hall,-111.0457071,45.66650855
Cobleigh Hall,-111.0457068,45.666476
Cobleigh Hall,-111.0457061,45.66641272
Cobleigh Hall,-111.0457604,45.66641233
Cobleigh Hall,-111.0457608,45.66639035
Cobleigh Hall,-111.0457607,45.66638776
Cobleigh Hall,-111.0458926,45.66638682
Cobleigh Hall,-111.0458924,45.66636114
Cobleigh Hall,-111.045919,45.66636106
Cobleigh Hall,-111.0459193,45.66634885
Cobleigh Hall,-111.045999,45.66634829
Cobleigh Hall,-111.0461139,45.66634747
Cobleigh Hall,-111.0461134,45.66629076
Cobleigh Hall,-111.0462084,45.66629062
Cobleigh Hall,-111.046207,45.66638123
Cobleigh Hall,-111.0462068,45.66638124
Cobleigh Hall,-111.0462069,45.6663851
Cobleigh Hall,-111.0462077,45.66641225
Cobleigh Hall,-111.046264,45.6664106
Cobleigh Hall,-111.0462641,45.66642139
Cobleigh Hall,-111.0462646,45.66648206
Cobleigh Hall,-111.0462656,45.66662305
Cobleigh Hall,-111.0462657,45.66662511
Cobleigh Hall,-111.0462657,45.66662696
Cobleigh Hall,-111.0462659,45.66665794
Cobleigh Hall,-111.0462119,45.66665815
Cobleigh Hall,-111.0462121,45.66668057
Cobleigh Hall,-111.0462121,45.66668257
Cobleigh Hall,-111.0461145,45.6666829
Cobleigh Hall,-111.0461156,45.66675553
Cobleigh Hall,-111.046015,45.66675611
Cobleigh Hall,-111.0460149,45.6667012
Gaines Hall,-111.0505824,45.66578274
Gaines Hall,-111.0505831,45.66578089
Gaines Hall,-111.0505457,45.6657739
Gaines Hall,-111.0505091,45.66576705
Gaines Hall,-111.0505084,45.66576891
Gaines Hall,-111.0505049,45.66576825
Gaines Hall,-111.050504,45.66576808
Gaines Hall,-111.0505046,45.66576638
Gaines Hall,-111.0505047,45.66576623
Gaines Hall,-111.0504862,45.66576277
Gaines Hall,-111.0504855,45.66576462
Gaines Hall,-111.050482,45.66576396
Gaines Hall,-111.0504811,45.66576379
Gaines Hall,-111.0504817,45.66576209
Gaines Hall,-111.0504818,45.66576194
Gaines Hall,-111.0504307,45.6657524
Gaines Hall,-111.05043,45.66575425
Gaines Hall,-111.0504265,45.66575359
Gaines Hall,-111.0504256,45.66575342
Gaines Hall,-111.0504263,45.66575172
Gaines Hall,-111.0504263,45.66575157
Gaines Hall,-111.0503695,45.66574093
Gaines Hall,-111.0503686,45.66574076
Gaines Hall,-111.0503686,45.66574059
Gaines Hall,-111.0503109,45.66572979
Gaines Hall,-111.0503103,45.66566589
Gaines Hall,-111.0503137,45.66566588
Gaines Hall,-111.0503134,45.66563662
Gaines Hall,-111.05031,45.66563663
Gaines Hall,-111.05031,45.66563114
Gaines Hall,-111.0502766,45.66563129
Gaines Hall,-111.0502766,45.66563495
Gaines Hall,-111.0502662,45.66563499
Gaines Hall,-111.0502661,45.66563134
Gaines Hall,-111.0501983,45.66563163
Gaines Hall,-111.0501983,45.66563529
Gaines Hall,-111.0501879,45.66563533
Gaines Hall,-111.0501879,45.66563167
Gaines Hall,-111.0501201,45.66563197
Gaines Hall,-111.0501201,45.66563562
Gaines Hall,-111.0501097,45.66563567
Gaines Hall,-111.0501096,45.66563201
Gaines Hall,-111.0500418,45.6656323
Gaines Hall,-111.0500418,45.66563596
Gaines Hall,-111.0500314,45.66563601
Gaines Hall,-111.0500311,45.66559943
Gaines Hall,-111.0500316,45.66559943
Gaines Hall,-111.050031,45.66553714
Gaines Hall,-111.050031,45.66553245
Gaines Hall,-111.0500315,45.66553245
Gaines Hall,-111.0500313,45.66551164
Gaines Hall,-111.0500303,45.66551165
Gaines Hall,-111.0500303,45.66551106
Gaines Hall,-111.0500303,45.66551074
Gaines Hall,-111.05003,45.66547233
Gaines Hall,-111.050072,45.66547215
Gaines Hall,-111.0500719,45.66545957
Gaines Hall,-111.0501081,45.66545942
Gaines Hall,-111.0501081,45.66545553
Gaines Hall,-111.0501185,45.66545548
Gaines Hall,-111.0501185,45.66545581
Gaines Hall,-111.0501185,45.66545914
Gaines Hall,-111.0501194,45.66545914
Gaines Hall,-111.0501864,45.66545885
Gaines Hall,-111.0501863,45.66545519
Gaines Hall,-111.0501968,45.66545515
Gaines Hall,-111.0501968,45.66545547
Gaines Hall,-111.0501968,45.6654588
Gaines Hall,-111.0501976,45.6654588
Gaines Hall,-111.0502051,45.66545877
Gaines Hall,-111.050206,45.66545877
Gaines Hall,-111.0502646,45.66545851
Gaines Hall,-111.0502646,45.66545485
Gaines Hall,-111.050275,45.66545481
Gaines Hall,-111.050275,45.66545847
Gaines Hall,-111.0503429,45.66545817
Gaines Hall,-111.0503426,45.66543348
Gaines Hall,-111.0503443,45.66543348
Gaines Hall,-111.0503441,45.66541793
Gaines Hall,-111.0503425,45.66541794
Gaines Hall,-111.0503424,45.66540239
Gaines Hall,-111.050328,45.66540245
Gaines Hall,-111.050328,45.66540337
Gaines Hall,-111.0503176,45.66540341
Gaines Hall,-111.0503175,45.6653961
Gaines Hall,-111.0503188,45.66539609
Gaines Hall,-111.0503185,45.66535334
Gaines Hall,-111.0503172,45.66535335
Gaines Hall,-111.0503171,45.66534604
Gaines Hall,-111.0503275,45.66534599
Gaines Hall,-111.0503275,45.6653469
Gaines Hall,-111.0504,45.66534659
Gaines Hall,-111.0504201,45.6653465
Gaines Hall,-111.0504201,45.6653401
Gaines Hall,-111.0504683,45.66533989
Gaines Hall,-111.0504683,45.66533515
Gaines Hall,-111.0504681,45.66531698
Gaines Hall,-111.0504679,45.66529143
Gaines Hall,-111.0504757,45.66529139
Gaines Hall,-111.0504757,45.66529414
Gaines Hall,-111.0505227,45.66529394
Gaines Hall,-111.0505227,45.66529119
Gaines Hall,-111.0509846,45.66528905
Gaines Hall,-111.0509855,45.66541995
Gaines Hall,-111.0509857,45.66541995
Gaines Hall,-111.0509858,45.66545287
Gaines Hall,-111.0509729,45.66545293
Gaines Hall,-111.050973,45.66546824
Gaines Hall,-111.0509794,45.66546822
Gaines Hall,-111.0509798,45.66550754
Gaines Hall,-111.0509793,45.66550754
Gaines Hall,-111.05098,45.66559532
Gaines Hall,-111.0509805,45.66559532
Gaines Hall,-111.0509808,45.66562902
Gaines Hall,-111.0509808,45.6656319
Gaines Hall,-111.0509704,45.66563194
Gaines Hall,-111.0509704,45.66562936
Gaines Hall,-111.0509704,45.66562904
Gaines Hall,-111.0509704,45.66562861
Gaines Hall,-111.0509704,45.66562828
Gaines Hall,-111.0509026,45.66562858
Gaines Hall,-111.0509026,45.6656292
Gaines Hall,-111.0509026,45.66563223
Gaines Hall,-111.0508922,45.66563228
Gaines Hall,-111.0508921,45.66562955
Gaines Hall,-111.0508921,45.66562923
Gaines Hall,-111.0508921,45.66562894
Gaines Hall,-111.0508921,45.66562862
Gaines Hall,-111.0508243,45.66562892
Gaines Hall,-111.0508243,45.66562939
Gaines Hall,-111.0508243,45.66563257
Gaines Hall,-111.0508139,45.66563262
Gaines Hall,-111.0508139,45.66562941
Gaines Hall,-111.0508139,45.66562896
Gaines Hall,-111.0507461,45.66562925
Gaines Hall,-111.0507461,45.66562957
Gaines Hall,-111.0507461,45.66563291
Gaines Hall,-111.0507357,45.66563296
Gaines Hall,-111.0507356,45.66562992
Gaines Hall,-111.0507356,45.66562959
Gaines Hall,-111.0507356,45.6656293
Gaines Hall,-111.0506678,45.66562959
Gaines Hall,-111.0506678,45.66562975
Gaines Hall,-111.0506678,45.66563325
Gaines Hall,-111.0506574,45.6656333
Gaines Hall,-111.0506574,45.6656301
Gaines Hall,-111.0506574,45.66562996
Gaines Hall,-111.0506574,45.66562978
Gaines Hall,-111.0506574,45.66562964
Gaines Hall,-111.0505896,45.66562994
Gaines Hall,-111.0505903,45.66571244
Gaines Hall,-111.0505903,45.66571277
Gaines Hall,-111.0505907,45.6657568
