Building,Capacity
Animal Biosciences,391
A.J.M. Jonhson Hall,325
Barnard Hall,1153
Black Box Theatre,127
Chemistry and Biochemistry Research,290
Cheever Hall,808
Cobleigh Hall,701
Culbertson Hall,319
Gaines Hall,1230
Hamilton Hall,201
Haynes Hall,284
Herrick Hall,312
Howard Hall,523
Jabs Hall,571
Leon Johnson Hall,757
Lewis Hall,521
Linfield Hall,882
Montana Hall,192
Marga Hosaeus Fitness Center,253
Museum of the Rockies,445
Plant Biosciences,126
Plant Growth Center,121
Reid Hall,1873
Renne Library,148
Roberts Hall,958
Romney Gym,257
Sherrick Hall,195
Taylor Hall,39
Traphagen Hall,273
Visual Communication,460
Wilson Hall,1732
