common_name,genus,species,type,cultivar,date_removed,latitude,longitude
White Oak,Quercus,alba,Deciduous,,,-111.0518979,45.66861198
Cottonwood,Populus,deltoides,Deciduous,,3/8/16 0:00,-111.0487341,45.66401335
Hackberry,Celtis,occidentalis,Deciduous,,,-111.0516748,45.66386929
Apple,Malus, ,Deciduous,,,-111.0491688,45.6650597
Flowering Crab Apple,Malus, ,Deciduous,,,-111.0496118,45.66315585
Chokecherry,Prunus,virginiana,Deciduous,,,-111.0496736,45.66345466
Flowering Crab Apple,Malus, ,Deciduous,,,-111.0497269,45.6635621
Flowering Crab Apple,Malus, ,Deciduous,,,-111.0496047,45.66355103
Flowering Crab Apple,Malus, ,Deciduous,,,-111.0496674,45.66357311
Cottonwood,Populus,deltoides,Deciduous,,,-111.0477621,45.66286567
Cottonwood,Populus,deltoides,Deciduous,,,-111.0476211,45.6628512
Cottonwood,Populus,deltoides,Deciduous,,,-111.0474569,45.66284519
Cottonwood,Populus,deltoides,Deciduous,,,-111.0471594,45.66287016
Cottonwood,Populus,deltoides,Deciduous,,,-111.0470027,45.66286467
American Elm,Ulmus,americana,Deciduous,Cathredral,,-111.0469073,45.6628584
Linden,Tilia, ,Deciduous,,,-111.0468937,45.66311988
Linden,Tilia, ,Deciduous,,,-111.0468867,45.66322464
Linden,Tilia, ,Deciduous,,,-111.0468917,45.66344754
Honey Locust,Gleditsia,triacanthos,Deciduous,Inermis,10/5/15 0:00,-111.0470459,45.66377594
Honey Locust,Gleditsia,triacanthos,Deciduous,Inermis,10/5/15 6:00,-111.0470624,45.66382559
Honey Locust,Gleditsia,triacanthos,Deciduous,Inermis,10/7/15 0:00,-111.0472271,45.66376767
Honey Locust,Gleditsia,tricanthos,Deciduous,Inermis,10/5/15 0:00,-111.0473489,45.66385949
Honey Locust,Gleditsia,tricanthos,Deciduous,Inermis,10/5/15 0:00,-111.0473511,45.66376058
Honey Locust,Gleditsia,tricanthos,Deciduous,Inermis,10/5/15 0:00,-111.0474844,45.66376532
Honey Locust,Gleditsia,tricanthos,Deciduous,,10/7/15 0:00,-111.0474824,45.6638526
Honey Locust,Gleditsia,tricanthos,Deciduous,Inermis,10/5/15 6:00,-111.0475973,45.66385307
Honey Locust,Gleditsia,tricanthos,Deciduous,Inermis,10/7/15 0:00,-111.0477756,45.66384307
Bur Oak,Quercus,macrocarpa,Deciduous,,,-111.0480177,45.66332705
Bur Oak,Quercus,macrocarpa,Deciduous,,10/7/15 0:00,-111.0479487,45.66336548
Linden,Tilia,americana,Deciduous,,,-111.0480317,45.6636324
Green Ash,Fraxinus,pensilvanica,Deciduous,,10/5/15 0:00,-111.0480143,45.66376173
Flowering Crab Apple,Malus,x,Deciduous,,10/5/15 6:00,-111.0479448,45.66357185
Linden,Tilia,americana,Deciduous,,10/5/15 0:00,-111.0480056,45.6638573
Maple (Norway),Acer,platanoides,Deciduous,,8/16/16 19:18,-111.0471454,45.66506969
Amur Cherry,Prunus,maackii,Deciduous,,8/16/16 19:17,-111.0471501,45.66507747
Amur Cherry,Prunus,maackii,Deciduous,,8/16/16 19:16,-111.0477426,45.66507105
Ginnala Maple,Acer,ginnala,Deciduous,,8/16/16 19:16,-111.0478143,45.66506864
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0519373,45.66268488
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0519393,45.66249144
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0519349,45.66205213
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0519599,45.66184403
American Linden,Tilia,americana,Deciduous,,,-111.0519387,45.6624055
American Linden,Tilia,americana,Deciduous,,,-111.0519468,45.66216292
American Linden,Tilia,americana,Deciduous,,,-111.05195,45.66165784
American Linden,Tilia,americana,Deciduous,,,-111.0519507,45.66145688
American Linden,Tilia,americana,Deciduous,,,-111.05196,45.6612119
Silver Maple,Acer,saccarinum,Deciduous,,,-111.0519617,45.66107859
Silver Maple,Acer,saccarinum,Deciduous,,,-111.0519614,45.6609675
Silver Maple,Acer,saccarinum,Deciduous,,,-111.0519613,45.66082965
Ginnala Maple,Acer,ginnala,Deciduous,,,-111.0518539,45.66063873
Ginnala Maple,Acer,ginnala,Deciduous,,,-111.051858,45.66062941
Ginnala Maple,Acer,ginnala,Deciduous,,,-111.0518836,45.66060718
Ginnala Maple,Acer,ginnala,Deciduous,,,-111.0518818,45.66061885
Ginnala Maple,Acer,ginnala,Deciduous,,,-111.0518378,45.66057864
Apple,Malus, ,Deciduous,,,-111.0514074,45.6636299
Apple,Malus, ,Deciduous,,,-111.051545,45.66361096
Chokecherry,Prunus,virginiana,Deciduous,,,-111.0517432,45.66366434
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0468888,45.66267528
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0468959,45.66257519
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0469017,45.66169453
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0468975,45.66147488
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0469019,45.66104219
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0468946,45.66092958
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0469187,45.66082281
Green Ash,Fraxinus,pennsylvanica,Deciduous,,,-111.0469065,45.6606159
Linden,Tilia,americana,Deciduous,,,-111.046908,45.66180311
Linden,Tilia,americana,Deciduous,Redmond,,-111.0468846,45.66212587
Linden,Tilia,americana,Deciduous,,,-111.0468885,45.66235539
Linden,Tilia,americana,Deciduous,,,-111.0468851,45.66278095
Bur Oak,Quercus,macrocarpa,Deciduous,,,-111.0468899,45.66245301
Bur Oak,Quercus,macrocarpa,Deciduous,,,-111.0468943,45.66188767
Cottonwood,Populus,deltoides,Deciduous,,,-111.0469077,45.66136937
Cottonwood,Populus,deltoides,Deciduous,,,-111.0468961,45.66125285
Cottonwood,Populus,deltoides,Deciduous,,,-111.0468895,45.66114577
Cottonwood,Populus,deltoides,Deciduous,,,-111.0507312,45.66484161
Lilac (Japanese),Syringa,reticulata,Deciduous,,,-111.0489638,45.6636943
Lilac (Japanese),Syringa,reticulata,Deciduous,,,-111.0489612,45.66363735
Lilac (Japanese),Syringa,reticulata,Deciduous,,,-111.0489642,45.66347694
Lilac (Japanese),Syringa,reticulata,Deciduous,,,-111.0489629,45.66332886
Lilac (Japanese),Syringa,reticulata,Deciduous,,,-111.0489654,45.66317439
Lilac (Japanese),Syringa,reticulata,Deciduous,,,-111.0489677,45.6631208
American Elm,Ulmus,americana,Deciduous,,,-111.0516603,45.66348949
American Elm,Ulmus,americana,Deciduous,,,-111.0515757,45.66340601
American Elm,Ulmus,americana,Deciduous,,,-111.0516066,45.66334167
American Elm,Ulmus,americana,Deciduous,,,-111.0516437,45.66326593
Linden,Tilia, ,Deciduous,,,-111.0517497,45.66354892
Honey Locust,Gleditsia,tricanthos,Deciduous,Inermis,,-111.0519411,45.66349876
Bur Oak,Quercus,macrocarpa,Deciduous,,,-111.0518846,45.66332606
Maple,Acer, ,Deciduous,,,-111.0519046,45.66318566
Bur Oak,Quercus,macrocarpa,Deciduous,,,-111.051816,45.66275869
Bur Oak,Quercus,macrocarpa,Deciduous,,,-111.0516438,45.66276797
Bur Oak,Quercus,macrocarpa,Deciduous,,,-111.0511637,45.66505596
American Elm,Ulmus,americana,Deciduous,,,-111.0513876,45.66505965
Bur Oak,Quercus,macrocarpa,Deciduous,,,-111.0515785,45.66505161
